Tweets,len,ID,Date,Source,Likes,RTs,Market Movement,SA
"RT @WhiteHouse: In response to the virus, the American people have launched the greatest mobilization of our society since World War II. 🇺🇸…",140,1248716255001030656,2020-04-10 20:55:29,Twitter for iPhone,0,5323,0,1
"RT @WhiteHouse: This Sunday, millions of Christians will celebrate Easter. 

""At this holy time, we pray that God will heal the sick and co…",140,1248716218867101696,2020-04-10 20:55:21,Twitter for iPhone,0,7271,-1,-1
RT @WhiteHouse: The data is clear: Our collective national effort is saving many lives. Keep up the fight! https://t.co/MMk1BpwDpg,130,1248716207311773702,2020-04-10 20:55:18,Twitter for iPhone,0,4199,1,1
RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/OtJWAa9yHo,88,1248670360507121665,2020-04-10 17:53:07,Twitter for iPhone,0,6191,-1,1
https://t.co/HGD0GHUOjt,23,1248653185969016833,2020-04-10 16:44:53,Twitter for iPhone,67151,18949,-1,0
"Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins v… https://t.co/NRcJmZAXLG",140,1248637403893583872,2020-04-10 15:42:10,Twitter for iPhone,86022,17562,1,1
RT @trish_regan: AG #Barr says he believes #Russia investigation into #PresTrump was started without basis &amp; effectively amounted to an eff…,144,1248632106135273473,2020-04-10 15:21:07,Twitter for iPhone,0,14446,1,1
RT @TomFitton: AG William Barr says Russia probe targeting @RealDonaldTrump was started 'without basis'. Where are the prosections? https:/…,140,1248632037839450113,2020-04-10 15:20:50,Twitter for iPhone,0,12175,0,0
RT @brithume: Barr on the right track here. Most in the media went in the other direction.  https://t.co/Wyd20ZABgF,115,1248631911456616448,2020-04-10 15:20:20,Twitter for iPhone,0,10654,0,1
The Invisible Enemy will soon be in full retreat!,49,1248630671754563585,2020-04-10 15:15:25,Twitter for iPhone,286708,55935,1,1
"Because the T.V. Ratings for the White House News Conference’s are the highest, the Opposition Party (Lamestream Me… https://t.co/aDU9l8UQnu",140,1248620923248205824,2020-04-10 14:36:41,Twitter for iPhone,83821,20404,1,0
"The White House Press Conference will take place today at 1:00 P.M., recognizing that it is Good Friday!",104,1248620586663702530,2020-04-10 14:35:20,Twitter for iPhone,70281,14745,0,1
HAPPY GOOD FRIDAY TO ALL!,25,1248619884688199682,2020-04-10 14:32:33,Twitter for iPhone,288001,41543,0,1
"Wow, Approval Rating in the Republican Party - 96%. Thank you!",62,1248615335139262470,2020-04-10 14:14:28,Twitter for iPhone,168966,25330,1,1
RT @SenTomCotton: .@Max_Fisher claims—without evidence—that I believe the China virus was “produced by a Chinese weapons lab.” He should ha…,140,1248591409743003650,2020-04-10 12:39:24,Twitter for iPhone,0,6381,0,0
RT @SenTomCotton: Very grateful for the people of Vietnam and their generosity during this time. Thank you!,107,1248591187893772290,2020-04-10 12:38:31,Twitter for iPhone,0,6400,-1,1
"RT @SaraCarterDC: WHO Director Says Politicizing COVID19 Leads To 'body bags,' But He Was Accused Of Covering Up Epidemics In Ethiopia

 ht…",140,1248590947019096064,2020-04-10 12:37:34,Twitter for iPhone,0,12569,0,0
"RT @SaraCarterDC: Former Flynn Defense Counsel Covington and Burling 'just now found additional docs' In Flynn File - Sara A. Carter

“We a…",140,1248590878870065152,2020-04-10 12:37:17,Twitter for iPhone,0,12277,1,0
"Not good Gregg, but it is what it is. Have to save the airlines! https://t.co/AeaiLCO9pg",88,1248590616151367686,2020-04-10 12:36:15,Twitter for iPhone,38024,8755,0,-1
RT @GreggJarrett: Coronavirus Crisis – Americans Fear the Lockdown More Than The Virus https://t.co/hVDzBPypAQ,110,1248590177259446277,2020-04-10 12:34:30,Twitter for iPhone,0,6437,-1,1
RT @Sedona4ProLife: @realDailyWire Can't beat Trump! https://t.co/uEQ1hmCj1a,76,1248589607043846144,2020-04-10 12:32:14,Twitter for iPhone,0,4451,0,0
RT @THE_REDLILY: @EM_KA_17 @senatemajldr THEY ARE EVIL PEOPLE PERIOD‼️ https://t.co/Nr4TSxcPSp,94,1248589058722406400,2020-04-10 12:30:03,Twitter for iPhone,0,4788,1,-1
"RT @zeusFanHouse: #Trump #Coronavirus Campaign Ad Features Joe Biden Cheerleading for China

“During America’s #crisis,Biden protected #Chi…",140,1248589007329595392,2020-04-10 12:29:51,Twitter for iPhone,0,8741,-1,0
"RT @Thaun84: @realDailyWire If Trump is tied with Biden, it probably actually means he is 10 points ahead.",106,1248588594991824897,2020-04-10 12:28:13,Twitter for iPhone,0,3399,0,0
RT @realDailyWire: Fauci: We’re On Track For More ‘Normal’ Summer; Mnuchin: Likely To Begin ‘Reopening’ In May https://t.co/uGVesET2cr http…,140,1248587444808712192,2020-04-10 12:23:39,Twitter for iPhone,0,4353,1,1
RT @cybergenica: AG William Barr on the Russia investigation: 'There's something far more troubling here' https://t.co/l9pwO7PCYZ #FoxNews…,139,1248586592777797632,2020-04-10 12:20:15,Twitter for iPhone,0,6767,1,1
RT @cybergenica: Trump vows coronavirus-ravaged economy will 'bounce' back https://t.co/6r0LJknEY5 #FoxNews #CNN #MSNBC,119,1248586447231299584,2020-04-10 12:19:41,Twitter for iPhone,0,4237,-1,0
RT @cybergenica: Macron faces calls to allow wider use hydroxychloroquine in coronavirus fight: report https://t.co/APZk7159k0 #FoxNews #CN…,140,1248586394311761920,2020-04-10 12:19:28,Twitter for iPhone,0,4931,0,0
"Congress must go back to DEDUCTIBILITY by businesses if Restaurants, Clubs &amp; Entertaiment is expected to flourish (like never before)!",138,1248578583225872385,2020-04-10 11:48:26,Twitter for iPhone,66235,14495,-1,-1
Democrats are blocking a 251 Billion Dollar funding boost for Small Businesses which will help them keep their empl… https://t.co/ashxJ7mPAU,140,1248574557616779264,2020-04-10 11:32:26,Twitter for iPhone,100597,28106,-1,-1
"This week, in only 4 days, we had the biggest Stock Market increase since 1974. We have a great chance for the real… https://t.co/czvHUd1jux",140,1248574029289619458,2020-04-10 11:30:20,Twitter for iPhone,185051,31462,1,1
RT @KimStrassel: The World Health Organization’s bows to China have harmed the global response to the coronavirus.  https://t.co/uC0kgXFCK9…,140,1248480650199306242,2020-04-10 05:19:17,Twitter for iPhone,0,10167,0,0
RT @KimStrassel: Bernie Sanders gives up on the nomination but is determined to force Joe Biden leftward—making him unelectable in the proc…,140,1248480517634183168,2020-04-10 05:18:45,Twitter for iPhone,0,6297,-1,0
RT @KimStrassel: Pelosi holds up small business: Democrats may let a new relief program run out of money.  https://t.co/2nihHg8DQw via @WSJ,139,1248480137365970945,2020-04-10 05:17:15,Twitter for iPhone,0,11325,0,-1
"RT @BBCBreaking: Prime Minister Boris Johnson has been moved out of intensive care but remains in hospital, Downing Street says https://t.c…",140,1248479801033125890,2020-04-10 05:15:54,Twitter for iPhone,0,8726,0,0
RT @searcyroger52: @IngrahamAngle if you continue to have loud mouth low IQ Chris Hahn on your show you’re going to loose me and many other…,140,1248479591947108352,2020-04-10 05:15:05,Twitter for iPhone,0,5095,1,1
"RT @TommyHicksGOP: “President Trump’s campaign remains at the forefront of digital campaigning and engagement…Sleepy Joe’s broadcasts, whic…",140,1248478219096842241,2020-04-10 05:09:37,Twitter for iPhone,0,4418,1,0
RT @TeamTrump: MUST READ op-ed from @LizRNC: Isn’t it strange how every Democrat proposal for voting during a pandemic is exactly what Demo…,140,1248478055992946689,2020-04-10 05:08:58,Twitter for iPhone,0,6472,1,1
"RT @CLH45: ""Our goal is - first, second and third - to get relief to people who need it, quickly. So, we're trying to do it as swiftly as p…",140,1248477968835301376,2020-04-10 05:08:38,Twitter for iPhone,0,4781,-1,1
"RT @TeamTrump: Secretary of State @mikepompeo announces that the State Department has repatriated 50,000 Americans! https://t.co/iWHLL2pHHd",139,1248477355284152325,2020-04-10 05:06:11,Twitter for iPhone,0,4875,0,0
"RT @parscale: The @TeamTrump online campaign is 🔥🔥🔥!

Since going all-virtual March 13:

❗️276K NEW volunteers
❗️13,347,694 volunteer calls…",140,1248477319527718912,2020-04-10 05:06:03,Twitter for iPhone,0,9317,0,1
"RT @GaryCoby: Trump vs Establishment - Part 2!

#SleepyJoe Loves...
✅ China
✅ Open Borders
✅ Free Healthcare for Illegals
✅ Big Government…",139,1248477225327808515,2020-04-10 05:05:40,Twitter for iPhone,0,4249,0,1
RT @FrancisBrennan: “Trump Campaign: The President Will Destroy Biden in November” https://t.co/wOLQ1roYzk,106,1248477048042999808,2020-04-10 05:04:58,Twitter for iPhone,0,3637,-1,-1
"RT @FrancisBrennan: What is Joe Biden doing with his hand here?

It looks like Biden’s teleprompter went down during his coronavirus press…",139,1248476961933938688,2020-04-10 05:04:37,Twitter for iPhone,0,4192,0,-1
"RT @LizRNC: AG Barr on Durham probe:

""He is looking to bring to justice people who were engaged in abuses if he can show that they were cr…",140,1248476931000954887,2020-04-10 05:04:30,Twitter for iPhone,0,7451,1,0
RT @ErinMPerrine: Dem establishment got the candidate they wanted with Biden &amp; his policies are right in line w/ Socialist Bernie -- BAD FO…,144,1248476115879907330,2020-04-10 05:01:16,Twitter for iPhone,0,3979,0,-1
